Name,Website,Phone,WhatsApp,Address,Map,Description,Category,Images
اسماك شعبان,,0120-4242-551,https://web.whatsapp.com/send?phone=+201204242551,"برج الهنا طريق اسكندرية مطروح - كورنيش المكس, المكس, الاسكندرية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B3%D9%85%D8%A7%D9%83-%D8%B4%D8%B9%D8%A8%D8%A7%D9%86/30799?position=1&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,اسم له تاريخ وسي فود عنوانه عندنا وبس مهما روحت وجيت اسماك شعبان طعم تاني خالص التتبيلة المميزة والجمبري المقلي اللي مش هتدوق زيه في اي حتة تانية عندنا احنا وبس في فرع المكس وسر طعمنا اننا كل الاسماك عندنا فريش وطازة من البحر علي طول ده طبعا غير خلطتنا المميزة اللي ما تقدرش تقاومها.,مطاعم,"https://cdn.yellowpages.com.eg/static/modules/uploads/logos/asmak-shaaban-logo_30799_2022_wa.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/03/asmak-shaaban-photo_30799_2022_wa_01_44768.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/03/asmak-shaaban-photo_30799_2022_wa_02_83675.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/03/asmak-shaaban-photo_30799_2022_wa_03_85578.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/03/asmak-shaaban-photo_30799_2022_wa_04_70240.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/03/asmak-shaaban-photo_30799_2022_wa_05_44601.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/03/asmak-shaaban-photo_30799_2022_wa_06_11753.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/03/asmak-shaaban-photo_30799_2022_wa_07_91592.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/03/asmak-shaaban-photo_30799_2022_wa_08_13801.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/03/asmak-shaaban-photo_30799_2022_wa_09_85287.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/03/asmak-shaaban-photo_30799_2022_wa_10_50213.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/03/asmak-shaaban-photo_30799_2022_wa_11_8610.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/03/asmak-shaaban-photo_30799_2022_wa_12_80500.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/03/asmak-shaaban-photo_30799_2022_wa_13_37210.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/03/asmak-shaaban-photo_30799_2022_wa_14_51876.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/03/asmak-shaaban-photo_30799_2022_wa_15_58134.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/03/asmak-shaaban-photo_30799_2022_wa_16_26071.jpg?2"
تشنكيز ساندوتش اند فرايز,,"02-2776-3249
0101-8818-164
0103-2801-461",https://web.whatsapp.com/send?phone=+201018818164,"62 ش عثمان بن عفان, ميدان سفير, مصر الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%AA%D8%B4%D9%86%D9%83%D9%8A%D8%B2-%D8%B3%D8%A7%D9%86%D8%AF%D9%88%D8%AA%D8%B4-%D8%A7%D9%86%D8%AF-%D9%81%D8%B1%D8%A7%D9%8A%D8%B2/199932?position=2&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,انشئت مطاعم تشنكيز1997 وتخصصت في الهوت دوج علي الطريقة الامريكية ثم توسعت فأنتجت العديد من ساندوتشات الفراخ واللحوم وتميزنا بأن كل خامتنا من انتاجنا تجهز وتقطع مطابخنا وخاصة البطاطس الطازجة المقلية المغطاة بخلطة من توابل تشنكي الشهية مقرمشة من الخارج وطرية من الداخل(تشنكيز = جودة + طعم + سعر مقبول),وجبات سريعة,"https://cdn.yellowpages.com.eg/static/modules/uploads/logos/chunky-sandwich-fries-logo_199932_2024_af.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/32/chunky-sandwich-fries-logo_199932_2024_af_10_94872.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/32/chunky-sandwich-fries-logo_199932_2024_af_11_16187.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/32/chunky-sandwich-fries-logo_199932_2024_af_1_59203.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/32/chunky-sandwich-fries-logo_199932_2024_af_2_58129.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/32/chunky-sandwich-fries-logo_199932_2024_af_3_53995.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/32/chunky-sandwich-fries-logo_199932_2024_af_4_72709.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/32/chunky-sandwich-fries-logo_199932_2024_af_5_86071.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/32/chunky-sandwich-fries-logo_199932_2024_af_6_75691.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/32/chunky-sandwich-fries-logo_199932_2024_af_7_60131.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/32/chunky-sandwich-fries-logo_199932_2024_af_8_17139.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/32/chunky-sandwich-fries-logo_199932_2024_af_9_99890.jpg?2"
قرية التمساح للمشويات والمأكولات البدوية,https://www.altemsah-village.com/,"03-4531-519
0128-0022-221",https://web.whatsapp.com/send?phone=+201280022221,"كم 12.5 طريق الكافورى, برج العرب, الاسكندرية.",https://yellowpages.com.eg/ar/profile/%D9%82%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%AA%D9%85%D8%B3%D8%A7%D8%AD-%D9%84%D9%84%D9%85%D8%B4%D9%88%D9%8A%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D9%85%D8%A3%D9%83%D9%88%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D8%AF%D9%88%D9%8A%D8%A9/619893?position=3&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,قرية التمساح تقدم لعملائها افضل انواع الماكولات البدوية والمشويات بطعم فريد لايقارن حيث ان كل منتجاتنا من مزارعنا وفي اجواء بدوية وعصرية تناسب جميع الاذواق كما توجد ملاهي للأطفال ومعرض للحيونات مجانا كما يوجد لدينا حجوزات للمصانع والجروبات والتجمعات. شرفونا في قرية التمساح ونعدكم بتجربة ساحرة لن تنسي.,مشويات,"https://cdn.yellowpages.com.eg/static/modules/uploads/logos/el-temsaah-village-logo_619893-_2023_sh.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_01_27555.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_02_91377.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_03_41304.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_04_77432.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_05_19555.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_06_92874.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_07_86117.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_08_15030.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_09_95433.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_10_58047.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_11_70460.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_12_21907.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_13_63172.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_14_28553.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_15_1561.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_16_2517.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_17_57267.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_18_99925.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/el-temsaah-village-photo_619893_2021_wa_19_85500.jpg?2"
مطعم هرم الحمام,,0120-0285-050,https://web.whatsapp.com/send?phone=+201200285050,"ش المشير - مول سيتى سكوير, سيدى جابر, الاسكندرية.",https://yellowpages.com.eg/ar/profile/%D9%85%D8%B7%D8%B9%D9%85-%D9%87%D8%B1%D9%85-%D8%A7%D9%84%D8%AD%D9%85%D8%A7%D9%85/694169?position=4&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,مطعم هرم الحمام للمشويات يقدم أشهى الأكلات الشرقية، المشويات، الطواجن، والحمام بأصالة المذاق الشرقي. يُعد من أفضل المطاعم في القاهرة، الإسكندرية، وطنطا، حيث نحرص على تقديم جودة عالية وتجربة فريدة لعشاق الأكل الشرقي والمشويات.,مشويات,"https://cdn.yellowpages.com.eg/static/modules/uploads/logos/haram-el-hamam-restaurant-logo_694169_2023_wa_45208.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/42/haram-el-hamam-restaurant-photo_694169_2023_wa_01_63486_17843.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/42/haram-el-hamam-restaurant-photo_694169_2023_wa_02_14511_18719.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/42/haram-el-hamam-restaurant-photo_694169_2023_wa_03_14075_28581.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/42/haram-el-hamam-restaurant-photo_694169_2023_wa_04_82808_61411.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/42/haram-el-hamam-restaurant-photo_694169_2023_wa_05_50154_40642.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/42/haram-el-hamam-restaurant-photo_694169_2023_wa_06_13250_70503.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/42/haram-el-hamam-restaurant-photo_694169_2023_wa_07_83639_29523.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/42/haram-el-hamam-restaurant-photo_694169_2023_wa_08_94966_62858.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/42/haram-el-hamam-restaurant-photo_694169_2023_wa_09_7864_15714.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/42/haram-el-hamam-restaurant-photo_694169_2023_wa_10_29576_62149.jpg?2"
يونى ستيل لتجهيزات المطاعم والفنادق,,"0101-9182-323
0106-7966-076",https://web.whatsapp.com/send?phone=+201067966076,"طريق القناطر, عرب شركس, القناطر الخيرية, القليوبية.",https://yellowpages.com.eg/ar/profile/%D9%8A%D9%88%D9%86%D9%89-%D8%B3%D8%AA%D9%8A%D9%84-%D9%84%D8%AA%D8%AC%D9%87%D9%8A%D8%B2%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B7%D8%A7%D8%B9%D9%85-%D9%88%D8%A7%D9%84%D9%81%D9%86%D8%A7%D8%AF%D9%82/695759?position=5&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,يونى ستيل شركة رائدة في مجال تجهيزات المطاعم والفنادق وتتلخص فلسفتنا في ان نضع عميلنا على قمة النجاح حيث تقوم الشركة بتصميم وتصنيع وتوريد جميع المعدات التي تلزم مشروعك مع الحفاظ على إرضاء العملاء وتزويدهم بأفضل موظفينا المتمرسين ذوي الخبرة الجيدة ونحن على استعداد تام للتعامل مع المشاريع الصغيرة والمتوسطة والكافيهات والمطاعم والفنادق والتجار وشركات المعدات.,معدات مطاعم وفنادق,"https://cdn.yellowpages.com.eg/static/modules/uploads/logos/uni-steel-for-restaurants-hotels-equipment-logo_695759_2024_wa.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_01_83777.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_02_39863.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_03_76581.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_04_98237.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_05_7459.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_06_65264.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_07_95159.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_08_46430.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_09_38712.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_10_4978.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_11_96907.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_12_59789.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_13_22657.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_14_43857.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_15_87980.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_16_99682.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_17_4196.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_18_26128.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/07/uni-steel-for-restaurants-hotels-equipment-photo_695759-_2024_sh_19_61646.jpg?2"
اسماك المنشاوى,,"0114-6561-122
0120-0661-012",,", عمارة 306 د, حدائق الاهرام, الهرم, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B3%D9%85%D8%A7%D9%83-%D8%A7%D9%84%D9%85%D9%86%D8%B4%D8%A7%D9%88%D9%89/577520?position=6&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم,
امواج للماكولات البحرية,,"0110-1882-299
0102-5252-589
02-2287-7770",,"5 ش محمد حسنين هيكل, مدينة نصر, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D9%85%D9%88%D8%A7%D8%AC-%D9%84%D9%84%D9%85%D8%A7%D9%83%D9%88%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D8%A9/612768?position=7&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم,
بيتزا باستا,,"0109-6871-757
02-3586-0462
0122-5822-193",,"45 ش المطبعة, فيصل, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7-%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7/329661?position=8&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,بيتزا,
ساكورا سوشى,http://www.sakurasushi-eg.com/,"0127-2324-750
0101-6313-140",https://web.whatsapp.com/send?phone=+201272324750,"15 ش 231, دجلة, المعادى, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%B3%D8%A7%D9%83%D9%88%D8%B1%D8%A7-%D8%B3%D9%88%D8%B4%D9%89/127658?position=9&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم يابانية,
سلسلة مطاعم الحاتى,,19638,,"127 ش مصر والسودان, حدائق القبة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%B3%D9%84%D8%B3%D9%84%D8%A9-%D9%85%D8%B7%D8%A7%D8%B9%D9%85-%D8%A7%D9%84%D8%AD%D8%A7%D8%AA%D9%89/99168?position=10&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم شعبية,
